classa,classb,wins
Hunter,Hunter,5
Druid,Warrior,9
Mage,Hunter,5
Warrior,Hunter,3
Warlock,Druid,3
Rogue,Warrior,2
Warrior,Druid,8
Druid,Druid,10
Druid,Rogue,3
Rogue,Hunter,1
Warrior,Warrior,7
Shaman,Mage,5
Hunter,Druid,6
Mage,Druid,7
Rogue,Druid,4
Hunter,Rogue,2
Rogue,Warlock,1
Rogue,Rogue,2
Warrior,Warlock,6
Hunter,Mage,2
Mage,Shaman,4
Druid,Mage,5
Mage,Warrior,6
Shaman,Hunter,2
Warlock,Hunter,3
Shaman,Druid,2
Warrior,Paladin,1
Druid,Priest,1
Warlock,Priest,1
Druid,Warlock,2
Warrior,Priest,1
Priest,Mage,1
Paladin,Mage,1
Shaman,Shaman,1
Druid,Shaman,4
Priest,Druid,1
Paladin,Druid,1
Druid,Hunter,3
Warrior,Shaman,2
Mage,Warlock,2
Hunter,Shaman,4
Hunter,Warrior,1
Shaman,Warrior,2
Warrior,Mage,2
Mage,Mage,3
Rogue,Mage,1
Warlock,Mage,2
Shaman,Paladin,1
Warlock,Warrior,3
Paladin,Warrior,1
Warlock,Rogue,3
Warrior,Rogue,1
